duplicate_group_id,duplicate_key,records_in_group,selected_client_id,merged_client_ids,dedup_reason
178,phone:+79105991892,2,RAW-01491,"RAW-DUP-01490, RAW-01491",phone/email/name_city match
198,phone:+79117959560,2,RAW-00152,"RAW-00152, RAW-DUP-00151",phone/email/name_city match
202,phone:+79119405653,2,RAW-00803,"RAW-00803, RAW-DUP-00802",phone/email/name_city match
203,phone:+79120897684,2,RAW-01088,"RAW-01088, RAW-DUP-01087",phone/email/name_city match
204,phone:+79120912992,2,RAW-00010,"RAW-00010, RAW-DUP-00009",phone/email/name_city match
208,phone:+79125830942,2,RAW-00512,"RAW-DUP-00511, RAW-00512",phone/email/name_city match
212,phone:+79129361620,2,RAW-00729,"RAW-DUP-00728, RAW-00729",phone/email/name_city match
230,phone:+79141580226,2,RAW-00024,"RAW-DUP-00023, RAW-00024",phone/email/name_city match
231,phone:+79141966969,2,RAW-00553,"RAW-00553, RAW-DUP-00552",phone/email/name_city match
234,phone:+79144732180,2,RAW-00938,"RAW-DUP-00937, RAW-00938",phone/email/name_city match
235,phone:+79145058111,2,RAW-01304,"RAW-DUP-01303, RAW-01304",phone/email/name_city match
236,phone:+79146013521,2,RAW-01071,"RAW-01071, RAW-DUP-01070",phone/email/name_city match
243,phone:+79149835854,2,RAW-01321,"RAW-DUP-01320, RAW-01321",phone/email/name_city match
248,phone:+79153685617,2,RAW-00914,"RAW-00914, RAW-DUP-00913",phone/email/name_city match
252,phone:+79156280451,2,RAW-00559,"RAW-00559, RAW-DUP-00558",phone/email/name_city match
259,phone:+79165558887,2,RAW-DUP-00577,"RAW-DUP-00577, RAW-00578",phone/email/name_city match
260,phone:+79165655153,2,RAW-01431,"RAW-01431, RAW-DUP-01430",phone/email/name_city match
262,phone:+79166448444,2,RAW-DUP-00585,"RAW-DUP-00585, RAW-00586",phone/email/name_city match
263,phone:+79166779947,2,RAW-DUP-00503,"RAW-DUP-00503, RAW-00504",phone/email/name_city match
264,phone:+79167412709,2,RAW-00917,"RAW-00917, RAW-DUP-00916",phone/email/name_city match
265,phone:+79168000803,2,RAW-DUP-00180,"RAW-DUP-00180, RAW-00181",phone/email/name_city match
278,phone:+79176141919,2,RAW-DUP-01068,"RAW-DUP-01068, RAW-01069",phone/email/name_city match
289,phone:+79184147554,2,RAW-00222,"RAW-00222, RAW-DUP-00221",phone/email/name_city match
301,phone:+79191456029,2,RAW-DUP-01509,"RAW-DUP-01509, RAW-01510",phone/email/name_city match
311,phone:+79201477888,2,RAW-00432,"RAW-DUP-00431, RAW-00432",phone/email/name_city match
313,phone:+79202896950,2,RAW-00529,"RAW-00529, RAW-DUP-00528",phone/email/name_city match
314,phone:+79202932437,2,RAW-00878,"RAW-DUP-00877, RAW-00878",phone/email/name_city match
316,phone:+79203848421,2,RAW-DUP-00002,"RAW-DUP-00002, RAW-00003",phone/email/name_city match
318,phone:+79204889313,2,RAW-00157,"RAW-00157, RAW-DUP-00156",phone/email/name_city match
321,phone:+79207343380,2,RAW-01002,"RAW-DUP-01001, RAW-01002",phone/email/name_city match
323,phone:+79209790046,2,RAW-01123,"RAW-DUP-01122, RAW-01123",phone/email/name_city match
326,phone:+79211240259,2,RAW-DUP-00078,"RAW-DUP-00078, RAW-00079",phone/email/name_city match
333,phone:+79214321799,2,RAW-00260,"RAW-DUP-00259, RAW-00260",phone/email/name_city match
334,phone:+79218910413,2,RAW-00551,"RAW-DUP-00550, RAW-00551",phone/email/name_city match
336,phone:+79220953538,2,RAW-00132,"RAW-00132, RAW-DUP-00131",phone/email/name_city match
344,phone:+79226254084,2,RAW-00767,"RAW-00767, RAW-DUP-00766",phone/email/name_city match
345,phone:+79226902446,2,RAW-00398,"RAW-DUP-00397, RAW-00398",phone/email/name_city match
352,phone:+79231680929,2,RAW-00110,"RAW-00110, RAW-DUP-00109",phone/email/name_city match
362,phone:+79237144535,2,RAW-01343,"RAW-01343, RAW-DUP-01342",phone/email/name_city match
364,phone:+79238548086,2,RAW-00113,"RAW-DUP-00112, RAW-00113",phone/email/name_city match
375,phone:+79247748824,2,RAW-01419,"RAW-01419, RAW-DUP-01418",phone/email/name_city match
379,phone:+79249216081,2,RAW-00282,"RAW-00282, RAW-DUP-00281",phone/email/name_city match
386,phone:+79252584053,2,RAW-01306,"RAW-01306, RAW-DUP-01305",phone/email/name_city match
397,phone:+79255082939,2,RAW-DUP-00537,"RAW-DUP-00537, RAW-00538",phone/email/name_city match
398,phone:+79255371286,2,RAW-00587,"RAW-00587, RAW-DUP-00586",phone/email/name_city match
422,phone:+79264828264,2,RAW-01430,"RAW-DUP-01429, RAW-01430",phone/email/name_city match
424,phone:+79265971719,2,RAW-01237,"RAW-01237, RAW-DUP-01236",phone/email/name_city match
426,phone:+79269327426,2,RAW-00320,"RAW-DUP-00319, RAW-00320",phone/email/name_city match
441,phone:+79275602826,2,RAW-00794,"RAW-00794, RAW-DUP-00793",phone/email/name_city match
447,phone:+79281691657,2,RAW-00779,"RAW-00779, RAW-DUP-00778",phone/email/name_city match
461,phone:+79290731191,2,RAW-DUP-01237,"RAW-DUP-01237, RAW-01238",phone/email/name_city match
469,phone:+79294983631,2,RAW-01255,"RAW-01255, RAW-DUP-01254",phone/email/name_city match
472,phone:+79296228593,2,RAW-01474,"RAW-01474, RAW-DUP-01473",phone/email/name_city match
473,phone:+79296971836,2,RAW-00554,"RAW-DUP-00553, RAW-00554",phone/email/name_city match
474,phone:+79296978772,2,RAW-00744,"RAW-00744, RAW-DUP-00743",phone/email/name_city match
485,phone:+79300595397,2,RAW-01486,"RAW-01486, RAW-DUP-01485",phone/email/name_city match
486,phone:+79301495110,2,RAW-00659,"RAW-00659, RAW-DUP-00658",phone/email/name_city match
492,phone:+79305370925,2,RAW-00969,"RAW-DUP-00968, RAW-00969",phone/email/name_city match
495,phone:+79305775789,2,RAW-00801,"RAW-00801, RAW-DUP-00800",phone/email/name_city match
497,phone:+79306321443,2,RAW-00560,"RAW-00560, RAW-DUP-00559",phone/email/name_city match
500,phone:+79307166213,2,RAW-01072,"RAW-01072, RAW-DUP-01071",phone/email/name_city match
504,phone:+79309986083,2,RAW-01412,"RAW-01412, RAW-DUP-01411",phone/email/name_city match
513,phone:+79317464915,2,RAW-00820,"RAW-00820, RAW-DUP-00819",phone/email/name_city match
515,phone:+79318098944,2,RAW-00396,"RAW-00396, RAW-DUP-00395",phone/email/name_city match
520,phone:+79319656512,2,RAW-01166,"RAW-DUP-01165, RAW-01166",phone/email/name_city match
524,phone:+79321856166,2,RAW-DUP-00177,"RAW-DUP-00177, RAW-00178",phone/email/name_city match
525,phone:+79321975705,2,RAW-00230,"RAW-00230, RAW-DUP-00229",phone/email/name_city match
540,phone:+79334996742,2,RAW-00700,"RAW-00700, RAW-DUP-00699",phone/email/name_city match
541,phone:+79335171142,2,RAW-00207,"RAW-DUP-00206, RAW-00207",phone/email/name_city match
542,phone:+79335276254,2,RAW-01396,"RAW-01396, RAW-DUP-01395",phone/email/name_city match
546,phone:+79337691219,2,RAW-00069,"RAW-DUP-00068, RAW-00069",phone/email/name_city match
549,phone:+79341074444,2,RAW-00897,"RAW-00897, RAW-DUP-00896",phone/email/name_city match
559,phone:+79350958360,2,RAW-00546,"RAW-DUP-00545, RAW-00546",phone/email/name_city match
562,phone:+79351707595,2,RAW-01035,"RAW-01035, RAW-DUP-01034",phone/email/name_city match
568,phone:+79357227536,2,RAW-00314,"RAW-00314, RAW-DUP-00313",phone/email/name_city match
570,phone:+79360112864,2,RAW-DUP-00565,"RAW-DUP-00565, RAW-00566",phone/email/name_city match
572,phone:+79361645266,2,RAW-00963,"RAW-00963, RAW-DUP-00962",phone/email/name_city match
576,phone:+79363747299,2,RAW-00971,"RAW-00971, RAW-DUP-00970",phone/email/name_city match
581,phone:+79364980053,2,RAW-DUP-01427,"RAW-DUP-01427, RAW-01428",phone/email/name_city match
591,phone:+79373041065,2,RAW-00255,"RAW-DUP-00254, RAW-00255",phone/email/name_city match
601,phone:+79378479334,2,RAW-00783,"RAW-00783, RAW-DUP-00782",phone/email/name_city match
609,phone:+79386752725,2,RAW-01258,"RAW-01258, RAW-DUP-01257",phone/email/name_city match
611,phone:+79387547650,2,RAW-01192,"RAW-01192, RAW-DUP-01191",phone/email/name_city match
615,phone:+79390541859,2,RAW-01369,"RAW-01369, RAW-DUP-01368",phone/email/name_city match
621,phone:+79394828690,2,RAW-00770,"RAW-DUP-00769, RAW-00770",phone/email/name_city match
632,phone:+79402394369,2,RAW-00361,"RAW-00361, RAW-DUP-00360",phone/email/name_city match
633,phone:+79402488060,2,RAW-00797,"RAW-DUP-00796, RAW-00797",phone/email/name_city match
634,phone:+79402620734,2,RAW-DUP-00747,"RAW-DUP-00747, RAW-00748",phone/email/name_city match
635,phone:+79403092603,2,RAW-DUP-01488,"RAW-DUP-01488, RAW-01489",phone/email/name_city match
636,phone:+79403965278,2,RAW-00759,"RAW-00759, RAW-DUP-00758",phone/email/name_city match
644,phone:+79409071885,2,RAW-01223,"RAW-01223, RAW-DUP-01222",phone/email/name_city match
646,phone:+79409394722,2,RAW-00420,"RAW-DUP-00419, RAW-00420",phone/email/name_city match
650,phone:+79411994135,2,RAW-DUP-00245,"RAW-DUP-00245, RAW-00246",phone/email/name_city match
675,phone:+79425118997,2,RAW-01132,"RAW-01132, RAW-DUP-01131",phone/email/name_city match
681,phone:+79427899285,2,RAW-00173,"RAW-00173, RAW-DUP-00172",phone/email/name_city match
691,phone:+79435124877,2,RAW-00318,"RAW-DUP-00317, RAW-00318",phone/email/name_city match
698,phone:+79436783022,2,RAW-00886,"RAW-00886, RAW-DUP-00885",phone/email/name_city match
706,phone:+79440096507,2,RAW-00321,"RAW-00321, RAW-DUP-00320",phone/email/name_city match
716,phone:+79444288576,2,RAW-00315,"RAW-DUP-00314, RAW-00315",phone/email/name_city match
721,phone:+79447396645,2,RAW-00477,"RAW-00477, RAW-DUP-00476",phone/email/name_city match
724,phone:+79448272764,2,RAW-DUP-00562,"RAW-DUP-00562, RAW-00563",phone/email/name_city match
726,phone:+79448981305,2,RAW-DUP-00041,"RAW-DUP-00041, RAW-00042",phone/email/name_city match
729,phone:+79449572138,2,RAW-DUP-01469,"RAW-DUP-01469, RAW-01470",phone/email/name_city match
733,phone:+79451581531,2,RAW-00118,"RAW-DUP-00117, RAW-00118",phone/email/name_city match
744,phone:+79462973315,2,RAW-DUP-00718,"RAW-DUP-00718, RAW-00719",phone/email/name_city match
757,phone:+79478918222,2,RAW-00119,"RAW-00119, RAW-DUP-00118",phone/email/name_city match
759,phone:+79481977286,2,RAW-00610,"RAW-00610, RAW-DUP-00609",phone/email/name_city match
760,phone:+79482077381,2,RAW-00646,"RAW-00646, RAW-DUP-00645",phone/email/name_city match
761,phone:+79482508755,2,RAW-01290,"RAW-DUP-01289, RAW-01290",phone/email/name_city match
762,phone:+79483259116,2,RAW-01101,"RAW-01101, RAW-DUP-01100",phone/email/name_city match
772,phone:+79489431174,2,RAW-00071,"RAW-DUP-00070, RAW-00071",phone/email/name_city match
785,phone:+79497864507,2,RAW-00117,"RAW-00117, RAW-DUP-00116",phone/email/name_city match
790,phone:+79502435111,2,RAW-01441,"RAW-01441, RAW-DUP-01440",phone/email/name_city match
791,phone:+79503535467,2,RAW-00652,"RAW-DUP-00651, RAW-00652",phone/email/name_city match
801,phone:+79512560249,2,RAW-00817,"RAW-00817, RAW-DUP-00816",phone/email/name_city match
812,phone:+79520700491,2,RAW-00589,"RAW-00589, RAW-DUP-00588",phone/email/name_city match
824,phone:+79527503847,2,RAW-DUP-01184,"RAW-DUP-01184, RAW-01185",phone/email/name_city match
830,phone:+79530361198,2,RAW-00166,"RAW-DUP-00165, RAW-00166",phone/email/name_city match
833,phone:+79532311310,2,RAW-DUP-00013,"RAW-DUP-00013, RAW-00014",phone/email/name_city match
841,phone:+79536725061,2,RAW-DUP-01056,"RAW-DUP-01056, RAW-01057",phone/email/name_city match
843,phone:+79538937500,2,RAW-00577,"RAW-DUP-00576, RAW-00577",phone/email/name_city match
852,phone:+79548952976,2,RAW-01437,"RAW-01437, RAW-DUP-01436",phone/email/name_city match
867,phone:+79559242868,2,RAW-00133,"RAW-00133, RAW-DUP-00132",phone/email/name_city match
883,phone:+79569735065,2,RAW-DUP-01147,"RAW-DUP-01147, RAW-01148",phone/email/name_city match
886,phone:+79571318858,2,RAW-00871,"RAW-00871, RAW-DUP-00870",phone/email/name_city match
888,phone:+79572299301,2,RAW-00852,"RAW-00852, RAW-DUP-00851",phone/email/name_city match
893,phone:+79575368059,2,RAW-00048,"RAW-00048, RAW-DUP-00047",phone/email/name_city match
901,phone:+79580645869,2,RAW-00756,"RAW-00756, RAW-DUP-00755",phone/email/name_city match
906,phone:+79583877436,2,RAW-DUP-00274,"RAW-DUP-00274, RAW-00275",phone/email/name_city match
915,phone:+79593089342,2,RAW-DUP-00268,"RAW-DUP-00268, RAW-00269",phone/email/name_city match
922,phone:+79597434896,2,RAW-DUP-01311,"RAW-DUP-01311, RAW-01312",phone/email/name_city match
925,phone:+79599954258,2,RAW-DUP-01385,"RAW-DUP-01385, RAW-01386",phone/email/name_city match
930,phone:+79601644438,2,RAW-01090,"RAW-01090, RAW-DUP-01089",phone/email/name_city match
934,phone:+79604147303,2,RAW-DUP-00531,"RAW-DUP-00531, RAW-00532",phone/email/name_city match
937,phone:+79604924443,2,RAW-00474,"RAW-DUP-00473, RAW-00474",phone/email/name_city match
939,phone:+79606917907,2,RAW-01338,"RAW-01338, RAW-DUP-01337",phone/email/name_city match
943,phone:+79608498927,2,RAW-00527,"RAW-00527, RAW-DUP-00526",phone/email/name_city match
948,phone:+79609788629,2,RAW-00549,"RAW-DUP-00548, RAW-00549",phone/email/name_city match
956,phone:+79614814659,2,RAW-00991,"RAW-00991, RAW-DUP-00990",phone/email/name_city match
959,phone:+79615917815,2,RAW-00430,"RAW-DUP-00429, RAW-00430",phone/email/name_city match
961,phone:+79618045651,2,RAW-01335,"RAW-DUP-01334, RAW-01335",phone/email/name_city match
964,phone:+79619939412,2,RAW-00162,"RAW-DUP-00161, RAW-00162",phone/email/name_city match
973,phone:+79626244990,2,RAW-00683,"RAW-DUP-00682, RAW-00683",phone/email/name_city match
985,phone:+79636672774,2,RAW-DUP-00764,"RAW-DUP-00764, RAW-00765",phone/email/name_city match
991,phone:+79639051860,2,RAW-01115,"RAW-01115, RAW-DUP-01114",phone/email/name_city match
1000,phone:+79642264030,2,RAW-00496,"RAW-00496, RAW-DUP-00495",phone/email/name_city match
1016,phone:+79654217523,2,RAW-00497,"RAW-DUP-00496, RAW-00497",phone/email/name_city match
1017,phone:+79656381604,2,RAW-DUP-00432,"RAW-DUP-00432, RAW-00433",phone/email/name_city match
1018,phone:+79656723166,2,RAW-00882,"RAW-00882, RAW-DUP-00881",phone/email/name_city match
1020,phone:+79657350311,2,RAW-00853,"RAW-00853, RAW-DUP-00852",phone/email/name_city match
1028,phone:+79661803025,2,RAW-01276,"RAW-01276, RAW-DUP-01275",phone/email/name_city match
1036,phone:+79668158268,2,RAW-01201,"RAW-01201, RAW-DUP-01200",phone/email/name_city match
1044,phone:+79675125160,2,RAW-00808,"RAW-00808, RAW-DUP-00807",phone/email/name_city match
1051,phone:+79677880966,2,RAW-DUP-01424,"RAW-DUP-01424, RAW-01425",phone/email/name_city match
1052,phone:+79678546200,2,RAW-01356,"RAW-DUP-01355, RAW-01356",phone/email/name_city match
1060,phone:+79683562180,2,RAW-00960,"RAW-00960, RAW-DUP-00959",phone/email/name_city match
1065,phone:+79688870662,2,RAW-00557,"RAW-00557, RAW-DUP-00556",phone/email/name_city match
1072,phone:+79691875560,2,RAW-01265,"RAW-DUP-01264, RAW-01265",phone/email/name_city match
1073,phone:+79691990078,2,RAW-00229,"RAW-00229, RAW-DUP-00228",phone/email/name_city match
1076,phone:+79693455569,2,RAW-DUP-01076,"RAW-DUP-01076, RAW-01077",phone/email/name_city match
1079,phone:+79693613902,2,RAW-01504,"RAW-DUP-01503, RAW-01504",phone/email/name_city match
1088,phone:+79702105788,2,RAW-01014,"RAW-01014, RAW-DUP-01013",phone/email/name_city match
1090,phone:+79704608774,2,RAW-01381,"RAW-01381, RAW-DUP-01380",phone/email/name_city match
1093,phone:+79706496928,2,RAW-00345,"RAW-00345, RAW-DUP-00344",phone/email/name_city match
1103,phone:+79712832797,2,RAW-DUP-00806,"RAW-DUP-00806, RAW-00807",phone/email/name_city match
1110,phone:+79718257024,2,RAW-00039,"RAW-00039, RAW-DUP-00038",phone/email/name_city match
1118,phone:+79722530817,2,RAW-DUP-00942,"RAW-DUP-00942, RAW-00943",phone/email/name_city match
1120,phone:+79723394061,2,RAW-01347,"RAW-DUP-01346, RAW-01347",phone/email/name_city match
1123,phone:+79725033655,2,RAW-00715,"RAW-00715, RAW-DUP-00714",phone/email/name_city match
1124,phone:+79725728324,2,RAW-00913,"RAW-DUP-00912, RAW-00913",phone/email/name_city match
1131,phone:+79730789551,2,RAW-DUP-00563,"RAW-DUP-00563, RAW-00564",phone/email/name_city match
1144,phone:+79741816840,2,RAW-00875,"RAW-DUP-00874, RAW-00875",phone/email/name_city match
1145,phone:+79742642508,2,RAW-00847,"RAW-00847, RAW-DUP-00846",phone/email/name_city match
1146,phone:+79742904674,2,RAW-00889,"RAW-00889, RAW-DUP-00888",phone/email/name_city match
1158,phone:+79749536504,2,RAW-01333,"RAW-DUP-01332, RAW-01333",phone/email/name_city match
1159,phone:+79749580994,2,RAW-DUP-00145,"RAW-DUP-00145, RAW-00146",phone/email/name_city match
1172,phone:+79753867179,2,RAW-01099,"RAW-01099, RAW-DUP-01098",phone/email/name_city match
1180,phone:+79757213142,2,RAW-01309,"RAW-01309, RAW-DUP-01308",phone/email/name_city match
1192,phone:+79763873742,2,RAW-00266,"RAW-00266, RAW-DUP-00265",phone/email/name_city match
1194,phone:+79764835755,2,RAW-00205,"RAW-00205, RAW-DUP-00204",phone/email/name_city match
1196,phone:+79765585315,2,RAW-01217,"RAW-DUP-01216, RAW-01217",phone/email/name_city match
1197,phone:+79767652370,2,RAW-00867,"RAW-00867, RAW-DUP-00866",phone/email/name_city match
1201,phone:+79769681760,2,RAW-00838,"RAW-00838, RAW-DUP-00837",phone/email/name_city match
1213,phone:+79778210041,2,RAW-DUP-01060,"RAW-DUP-01060, RAW-01061",phone/email/name_city match
1215,phone:+79779553060,2,RAW-01228,"RAW-DUP-01227, RAW-01228",phone/email/name_city match
1220,phone:+79781057736,2,RAW-DUP-00020,"RAW-DUP-00020, RAW-00021",phone/email/name_city match
1232,phone:+79788708018,2,RAW-00594,"RAW-DUP-00593, RAW-00594",phone/email/name_city match
1235,phone:+79790015869,2,RAW-00824,"RAW-00824, RAW-DUP-00823",phone/email/name_city match
1239,phone:+79792322606,2,RAW-00679,"RAW-00679, RAW-DUP-00678",phone/email/name_city match
1261,phone:+79806535237,2,RAW-00895,"RAW-00895, RAW-DUP-00894",phone/email/name_city match
1271,phone:+79813942334,2,RAW-DUP-00860,"RAW-DUP-00860, RAW-00861",phone/email/name_city match
1273,phone:+79814885719,2,RAW-00922,"RAW-DUP-00921, RAW-00922",phone/email/name_city match
1278,phone:+79818632661,2,RAW-01368,"RAW-01368, RAW-DUP-01367",phone/email/name_city match
1282,phone:+79819929088,2,RAW-00070,"RAW-00070, RAW-DUP-00069",phone/email/name_city match
1292,phone:+79825022076,2,RAW-DUP-00282,"RAW-DUP-00282, RAW-00283",phone/email/name_city match
1301,phone:+79830944708,2,RAW-01096,"RAW-DUP-01095, RAW-01096",phone/email/name_city match
1305,phone:+79832693486,2,RAW-00647,"RAW-00647, RAW-DUP-00646",phone/email/name_city match
1311,phone:+79836950507,2,RAW-00301,"RAW-DUP-00300, RAW-00301",phone/email/name_city match
1329,phone:+79845698359,2,RAW-DUP-00555,"RAW-DUP-00555, RAW-00556",phone/email/name_city match
1330,phone:+79845732616,2,RAW-01048,"RAW-DUP-01047, RAW-01048",phone/email/name_city match
1332,phone:+79846404164,2,RAW-01081,"RAW-01081, RAW-DUP-01080",phone/email/name_city match
1335,phone:+79846952406,2,RAW-00391,"RAW-00391, RAW-DUP-00390",phone/email/name_city match
1336,phone:+79847564962,2,RAW-01031,"RAW-01031, RAW-DUP-01030",phone/email/name_city match
1352,phone:+79854005004,2,RAW-00378,"RAW-DUP-00377, RAW-00378",phone/email/name_city match
1353,phone:+79855092420,2,RAW-01005,"RAW-01005, RAW-DUP-01004",phone/email/name_city match
1357,phone:+79859945091,2,RAW-00624,"RAW-00624, RAW-DUP-00623",phone/email/name_city match
1362,phone:+79863395059,2,RAW-01180,"RAW-01180, RAW-DUP-01179",phone/email/name_city match
1365,phone:+79864555170,2,RAW-00354,"RAW-DUP-00353, RAW-00354",phone/email/name_city match
1370,phone:+79868921597,2,RAW-01399,"RAW-DUP-01398, RAW-01399",phone/email/name_city match
1392,phone:+79882059080,2,RAW-DUP-00494,"RAW-DUP-00494, RAW-00495",phone/email/name_city match
1395,phone:+79883038200,2,RAW-DUP-01067,"RAW-DUP-01067, RAW-01068",phone/email/name_city match
1406,phone:+79893388588,2,RAW-DUP-01042,"RAW-DUP-01042, RAW-01043",phone/email/name_city match
1408,phone:+79894548673,2,RAW-01130,"RAW-01130, RAW-DUP-01129",phone/email/name_city match
1411,phone:+79895149930,2,RAW-DUP-00141,"RAW-DUP-00141, RAW-00142",phone/email/name_city match
1426,phone:+79901544309,2,RAW-DUP-00505,"RAW-DUP-00505, RAW-00506",phone/email/name_city match
1430,phone:+79904448917,2,RAW-01389,"RAW-DUP-01388, RAW-01389",phone/email/name_city match
1432,phone:+79905053486,2,RAW-01103,"RAW-01103, RAW-DUP-01102",phone/email/name_city match
1444,phone:+79918239378,2,RAW-DUP-01266,"RAW-DUP-01266, RAW-01267",phone/email/name_city match
1447,phone:+79919897502,2,RAW-00558,"RAW-DUP-00557, RAW-00558",phone/email/name_city match
1449,phone:+79920917342,2,RAW-DUP-00347,"RAW-DUP-00347, RAW-00348",phone/email/name_city match
1454,phone:+79923396372,2,RAW-00476,"RAW-00476, RAW-DUP-00475",phone/email/name_city match
1462,phone:+79928864810,2,RAW-00650,"RAW-DUP-00649, RAW-00650",phone/email/name_city match
1464,phone:+79929993843,2,RAW-DUP-00838,"RAW-DUP-00838, RAW-00839",phone/email/name_city match
1468,phone:+79934132137,2,RAW-01241,"RAW-DUP-01240, RAW-01241",phone/email/name_city match
1469,phone:+79934718475,2,RAW-01515,"RAW-DUP-01514, RAW-01515",phone/email/name_city match
1470,phone:+79935924516,2,RAW-00108,"RAW-00108, RAW-DUP-00107",phone/email/name_city match
1471,phone:+79936418338,2,RAW-DUP-00406,"RAW-DUP-00406, RAW-00407",phone/email/name_city match
1486,phone:+79943858326,2,RAW-01508,"RAW-01508, RAW-DUP-01507",phone/email/name_city match
1487,phone:+79944527342,2,RAW-01254,"RAW-01254, RAW-DUP-01253",phone/email/name_city match
1491,phone:+79945876699,2,RAW-00601,"RAW-00601, RAW-DUP-00600",phone/email/name_city match
1495,phone:+79946774055,2,RAW-DUP-01301,"RAW-DUP-01301, RAW-01302",phone/email/name_city match
1496,phone:+79947373339,2,RAW-01175,"RAW-01175, RAW-DUP-01174",phone/email/name_city match
1502,phone:+79954059995,2,RAW-DUP-00126,"RAW-DUP-00126, RAW-00127",phone/email/name_city match
1504,phone:+79955499692,2,RAW-00753,"RAW-DUP-00752, RAW-00753",phone/email/name_city match
1509,phone:+79957905637,2,RAW-00494,"RAW-00494, RAW-DUP-00493",phone/email/name_city match
1510,phone:+79958107856,2,RAW-00400,"RAW-00400, RAW-DUP-00399",phone/email/name_city match
1514,phone:+79961321417,2,RAW-DUP-00205,"RAW-DUP-00205, RAW-00206",phone/email/name_city match
1515,phone:+79962792554,2,RAW-DUP-00456,"RAW-DUP-00456, RAW-00457",phone/email/name_city match
1521,phone:+79966781918,2,RAW-00873,"RAW-00873, RAW-DUP-00872",phone/email/name_city match
1525,phone:+79970161616,2,RAW-00209,"RAW-00209, RAW-DUP-00208",phone/email/name_city match
1530,phone:+79972792130,2,RAW-00371,"RAW-DUP-00370, RAW-00371",phone/email/name_city match
1531,phone:+79972949045,2,RAW-01146,"RAW-DUP-01145, RAW-01146",phone/email/name_city match
1544,phone:+79981149980,2,RAW-01094,"RAW-01094, RAW-DUP-01093",phone/email/name_city match
1559,phone:+79991268836,2,RAW-DUP-01166,"RAW-DUP-01166, RAW-01167",phone/email/name_city match
1560,phone:+79991596102,2,RAW-00285,"RAW-00285, RAW-DUP-00284",phone/email/name_city match
1562,phone:+79992758059,2,RAW-00537,"RAW-00537, RAW-DUP-00536",phone/email/name_city match
