order_date,order_month,order_week,day_of_week,order_id,customer_id,customer_name,city,customer_type,sales_channel,payment_method,order_status,manager,product_id,product_name,category,quantity,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost,margin,margin_pct,is_paid,is_cancelled,order_total,order_margin,avg_check,order_sequence,is_repeat_purchase
2026-01-03,2026-01,2026-W01,Saturday,O000313,C0175,Клиент 0175,Нижний Новгород,B2C,CRM,card,cancelled,Анна Кузнецова,P001,Монтаж оборудования,Монтаж,1,33700,0.0,33700,0.0,33700.0,18500,15200.0,0.451,0,1,54300.0,26600.0,54300.0,1,0
2026-01-03,2026-01,2026-W01,Saturday,O000313,C0175,Клиент 0175,Нижний Новгород,B2C,CRM,card,cancelled,Анна Кузнецова,P008,Аудит данных,Аналитика,1,20600,0.0,20600,0.0,20600.0,9200,11400.0,0.5534,0,1,54300.0,26600.0,54300.0,1,0
2026-01-04,2026-01,2026-W01,Sunday,O000018,C0111,Клиент 0111,Санкт-Петербург,B2B,Рекомендации,invoice,cancelled,Дмитрий Соколов,P001,Монтаж оборудования,Монтаж,1,32900,0.0,32900,0.0,32900.0,18500,14400.0,0.4377,0,1,32900.0,14400.0,32900.0,1,0
2026-01-04,2026-01,2026-W01,Sunday,O000140,C0024,Клиент 0024,Самара,B2C,SEO,card,paid,Мария Орлова,P001,Монтаж оборудования,Монтаж,1,32300,0.0,32300,0.0,32300.0,18500,13800.0,0.4272,1,0,32300.0,13800.0,32300.0,1,0
2026-01-04,2026-01,2026-W01,Sunday,O000215,C0097,Клиент 0097,Санкт-Петербург,B2C,Рекомендации,invoice,paid,Анна Кузнецова,P001,Монтаж оборудования,Монтаж,2,31600,0.0,63200,0.0,63200.0,37000,26200.0,0.4146,1,0,63200.0,26200.0,63200.0,1,0
2026-01-04,2026-01,2026-W01,Sunday,O000359,C0022,Клиент 0022,Краснодар,B2C,Яндекс Директ,invoice,paid,Иван Петров,P004,Подписка Профи,Подписки,1,17400,0.05,17400,870.0,16530.0,6200,10330.0,0.6249,1,0,16530.0,10330.0,16530.0,1,0
2026-01-04,2026-01,2026-W01,Sunday,O000522,C0005,Клиент 0005,Москва,B2C,SEO,card,paid,Дмитрий Соколов,P001,Монтаж оборудования,Монтаж,1,29200,0.0,29200,0.0,29200.0,18500,10700.0,0.3664,1,0,29200.0,10700.0,29200.0,1,0
2026-01-04,2026-01,2026-W01,Sunday,O000562,C0113,Клиент 0113,Новосибирск,B2C,SEO,card,cancelled,Дмитрий Соколов,P004,Подписка Профи,Подписки,1,17100,0.0,17100,0.0,17100.0,6200,10900.0,0.6374,0,1,17100.0,10900.0,17100.0,1,0
2026-01-05,2026-01,2026-W02,Monday,O000115,C0074,Клиент 0074,Казань,B2B,Рекомендации,card,paid,Мария Орлова,P010,Обучение команды,Обучение,1,19500,0.0,19500,0.0,19500.0,7300,12200.0,0.6256,1,0,19500.0,12200.0,19500.0,1,0
2026-01-05,2026-01,2026-W02,Monday,O000507,C0011,Клиент 0011,Санкт-Петербург,B2C,CRM,sbp,paid,Анна Кузнецова,P002,Настройка интеграции,Интеграции,1,25300,0.0,25300,0.0,25300.0,12200,13100.0,0.5178,1,0,45500.0,26500.0,45500.0,1,0
2026-01-05,2026-01,2026-W02,Monday,O000507,C0011,Клиент 0011,Санкт-Петербург,B2C,CRM,sbp,paid,Анна Кузнецова,P003,Подписка Базовая,Подписки,2,10100,0.0,20200,0.0,20200.0,6800,13400.0,0.6634,1,0,45500.0,26500.0,45500.0,1,0
2026-01-06,2026-01,2026-W02,Tuesday,O000092,C0151,Клиент 0151,Екатеринбург,B2C,SEO,card,paid,Анна Кузнецова,P008,Аудит данных,Аналитика,1,19200,0.0,19200,0.0,19200.0,9200,10000.0,0.5208,1,0,19200.0,10000.0,19200.0,1,0
2026-01-06,2026-01,2026-W02,Tuesday,O000338,C0003,Клиент 0003,Казань,B2B,Рекомендации,invoice,paid,Мария Орлова,P003,Подписка Базовая,Подписки,1,9900,0.05,9900,495.0,9405.0,3400,6005.0,0.6385,1,0,36020.0,19220.0,36020.0,1,0
2026-01-06,2026-01,2026-W02,Tuesday,O000338,C0003,Клиент 0003,Казань,B2B,Рекомендации,invoice,paid,Мария Орлова,P005,Сервисное обслуживание,Сервис,1,17700,0.05,17700,885.0,16815.0,7600,9215.0,0.548,1,0,36020.0,19220.0,36020.0,1,0
2026-01-06,2026-01,2026-W02,Tuesday,O000338,C0003,Клиент 0003,Казань,B2B,Рекомендации,invoice,paid,Мария Орлова,P006,Консультация аналитика,Консалтинг,1,9800,0.0,9800,0.0,9800.0,5800,4000.0,0.4082,1,0,36020.0,19220.0,36020.0,1,0
2026-01-07,2026-01,2026-W02,Wednesday,O000255,C0124,Клиент 0124,Москва,B2B,Email,card,paid,Анна Кузнецова,P004,Подписка Профи,Подписки,1,19400,0.0,19400,0.0,19400.0,6200,13200.0,0.6804,1,0,19400.0,13200.0,19400.0,1,0
2026-01-07,2026-01,2026-W02,Wednesday,O000606,C0061,Клиент 0061,Новосибирск,B2B,CRM,card,cancelled,Мария Орлова,P007,Разработка отчета,Аналитика,1,28700,0.0,28700,0.0,28700.0,12600,16100.0,0.561,0,1,28700.0,16100.0,28700.0,1,0
2026-01-08,2026-01,2026-W02,Thursday,O000297,C0038,Клиент 0038,Новосибирск,B2B,SEO,card,paid,Иван Петров,P003,Подписка Базовая,Подписки,1,9800,0.0,9800,0.0,9800.0,3400,6400.0,0.6531,1,0,9800.0,6400.0,9800.0,1,0
2026-01-08,2026-01,2026-W02,Thursday,O000585,C0087,Клиент 0087,Краснодар,B2B,Рекомендации,card,paid,Дмитрий Соколов,P001,Монтаж оборудования,Монтаж,1,36500,0.05,36500,1825.0,34675.0,18500,16175.0,0.4665,1,0,34675.0,16175.0,34675.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000102,C0017,Клиент 0017,Москва,B2B,Яндекс Директ,card,paid,Иван Петров,P005,Сервисное обслуживание,Сервис,1,18000,0.0,18000,0.0,18000.0,7600,10400.0,0.5778,1,0,29220.0,15820.0,29220.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000102,C0017,Клиент 0017,Москва,B2B,Яндекс Директ,card,paid,Иван Петров,P006,Консультация аналитика,Консалтинг,1,13200,0.15,13200,1980.0,11220.0,5800,5420.0,0.4831,1,0,29220.0,15820.0,29220.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000303,C0125,Клиент 0125,Краснодар,B2C,Яндекс Директ,card,paid,Мария Орлова,P005,Сервисное обслуживание,Сервис,1,15800,0.0,15800,0.0,15800.0,7600,8200.0,0.519,1,0,15800.0,8200.0,15800.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000357,C0127,Клиент 0127,Самара,B2B,Яндекс Директ,card,cancelled,Дмитрий Соколов,P006,Консультация аналитика,Консалтинг,2,12800,0.05,25600,1280.0,24320.0,11600,12720.0,0.523,0,1,24320.0,12720.0,24320.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000455,C0066,Клиент 0066,Нижний Новгород,B2B,CRM,card,paid,Дмитрий Соколов,P006,Консультация аналитика,Консалтинг,1,12800,0.0,12800,0.0,12800.0,5800,7000.0,0.5469,1,0,12800.0,7000.0,12800.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000580,C0081,Клиент 0081,Нижний Новгород,B2B,Email,card,paid,Анна Кузнецова,P004,Подписка Профи,Подписки,2,19000,0.0,38000,0.0,38000.0,12400,25600.0,0.6737,1,0,52100.0,32100.0,52100.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000580,C0081,Клиент 0081,Нижний Новгород,B2B,Email,card,paid,Анна Кузнецова,P005,Сервисное обслуживание,Сервис,1,14100,0.0,14100,0.0,14100.0,7600,6500.0,0.461,1,0,52100.0,32100.0,52100.0,1,0
2026-01-09,2026-01,2026-W02,Friday,O000589,C0057,Клиент 0057,Краснодар,B2C,Яндекс Директ,invoice,paid,Иван Петров,P002,Настройка интеграции,Интеграции,1,26100,0.0,26100,0.0,26100.0,12200,13900.0,0.5326,1,0,26100.0,13900.0,26100.0,2,1
2026-01-10,2026-01,2026-W02,Saturday,O000194,C0111,Клиент 0111,Санкт-Петербург,B2B,CRM,sbp,paid,Мария Орлова,P002,Настройка интеграции,Интеграции,2,25000,0.0,50000,0.0,50000.0,24400,25600.0,0.512,1,0,67700.0,36000.0,67700.0,2,1
2026-01-10,2026-01,2026-W02,Saturday,O000194,C0111,Клиент 0111,Санкт-Петербург,B2B,CRM,sbp,paid,Мария Орлова,P010,Обучение команды,Обучение,1,17700,0.0,17700,0.0,17700.0,7300,10400.0,0.5876,1,0,67700.0,36000.0,67700.0,2,1
2026-01-11,2026-01,2026-W02,Sunday,O000171,C0124,Клиент 0124,Москва,B2B,Email,sbp,paid,Мария Орлова,P002,Настройка интеграции,Интеграции,1,22700,0.0,22700,0.0,22700.0,12200,10500.0,0.4626,1,0,22700.0,10500.0,22700.0,2,1
2026-01-12,2026-01,2026-W03,Monday,O000169,C0037,Клиент 0037,Нижний Новгород,B2C,CRM,invoice,paid,Дмитрий Соколов,P003,Подписка Базовая,Подписки,1,10100,0.05,10100,505.0,9595.0,3400,6195.0,0.6456,1,0,9595.0,6195.0,9595.0,1,0
2026-01-12,2026-01,2026-W03,Monday,O000209,C0011,Клиент 0011,Санкт-Петербург,B2C,Яндекс Директ,sbp,paid,Иван Петров,P001,Монтаж оборудования,Монтаж,1,31100,0.05,31100,1555.0,29545.0,18500,11045.0,0.3738,1,0,29545.0,11045.0,29545.0,2,1
2026-01-13,2026-01,2026-W03,Tuesday,O000079,C0139,Клиент 0139,Краснодар,B2B,Email,invoice,paid,Дмитрий Соколов,P008,Аудит данных,Аналитика,1,20700,0.05,20700,1035.0,19665.0,9200,10465.0,0.5322,1,0,19665.0,10465.0,19665.0,1,0
2026-01-13,2026-01,2026-W03,Tuesday,O000383,C0133,Клиент 0133,Москва,B2B,CRM,invoice,paid,Иван Петров,P004,Подписка Профи,Подписки,1,18100,0.0,18100,0.0,18100.0,6200,11900.0,0.6575,1,0,18100.0,11900.0,18100.0,1,0
2026-01-13,2026-01,2026-W03,Tuesday,O000563,C0069,Клиент 0069,Казань,B2C,CRM,card,paid,Дмитрий Соколов,P001,Монтаж оборудования,Монтаж,1,28800,0.0,28800,0.0,28800.0,18500,10300.0,0.3576,1,0,66000.0,29500.0,66000.0,1,0
2026-01-13,2026-01,2026-W03,Tuesday,O000563,C0069,Клиент 0069,Казань,B2C,CRM,card,paid,Дмитрий Соколов,P002,Настройка интеграции,Интеграции,1,24800,0.0,24800,0.0,24800.0,12200,12600.0,0.5081,1,0,66000.0,29500.0,66000.0,1,0
2026-01-13,2026-01,2026-W03,Tuesday,O000563,C0069,Клиент 0069,Казань,B2C,CRM,card,paid,Дмитрий Соколов,P006,Консультация аналитика,Консалтинг,1,12400,0.0,12400,0.0,12400.0,5800,6600.0,0.5323,1,0,66000.0,29500.0,66000.0,1,0
2026-01-14,2026-01,2026-W03,Wednesday,O000055,C0103,Клиент 0103,Екатеринбург,B2B,CRM,invoice,paid,Анна Кузнецова,P002,Настройка интеграции,Интеграции,1,26800,0.15,26800,4020.0,22780.0,12200,10580.0,0.4644,1,0,22780.0,10580.0,22780.0,1,0
2026-01-14,2026-01,2026-W03,Wednesday,O000155,C0151,Клиент 0151,Екатеринбург,B2C,CRM,invoice,paid,Дмитрий Соколов,P009,Дополнительные услуги,Доп. услуги,1,8500,0.0,8500,0.0,8500.0,4100,4400.0,0.5176,1,0,8500.0,4400.0,8500.0,2,1
2026-01-14,2026-01,2026-W03,Wednesday,O000369,C0143,Клиент 0143,Казань,B2B,CRM,card,paid,Дмитрий Соколов,P005,Сервисное обслуживание,Сервис,1,11700,0.0,11700,0.0,11700.0,7600,4100.0,0.3504,1,0,34900.0,18100.0,34900.0,1,0
2026-01-14,2026-01,2026-W03,Wednesday,O000369,C0143,Клиент 0143,Казань,B2B,CRM,card,paid,Дмитрий Соколов,P008,Аудит данных,Аналитика,1,23200,0.0,23200,0.0,23200.0,9200,14000.0,0.6034,1,0,34900.0,18100.0,34900.0,1,0
2026-01-14,2026-01,2026-W03,Wednesday,O000375,C0119,Клиент 0119,Казань,B2C,Яндекс Директ,card,paid,Анна Кузнецова,P004,Подписка Профи,Подписки,1,19600,0.0,19600,0.0,19600.0,6200,13400.0,0.6837,1,0,19600.0,13400.0,19600.0,1,0
2026-01-14,2026-01,2026-W03,Wednesday,O000392,C0037,Клиент 0037,Нижний Новгород,B2C,CRM,invoice,paid,Иван Петров,P001,Монтаж оборудования,Монтаж,1,35000,0.0,35000,0.0,35000.0,18500,16500.0,0.4714,1,0,35000.0,16500.0,35000.0,2,1
2026-01-15,2026-01,2026-W03,Thursday,O000183,C0091,Клиент 0091,Казань,B2C,CRM,sbp,paid,Мария Орлова,P003,Подписка Базовая,Подписки,1,9500,0.0,9500,0.0,9500.0,3400,6100.0,0.6421,1,0,9500.0,6100.0,9500.0,1,0
2026-01-15,2026-01,2026-W03,Thursday,O000610,C0072,Клиент 0072,Новосибирск,B2C,CRM,sbp,refunded,Анна Кузнецова,P001,Монтаж оборудования,Монтаж,1,30000,0.05,30000,1500.0,28500.0,18500,10000.0,0.3509,1,0,28500.0,10000.0,28500.0,1,0
2026-01-16,2026-01,2026-W03,Friday,O000120,C0046,Клиент 0046,Нижний Новгород,B2B,Telegram,invoice,paid,Мария Орлова,P005,Сервисное обслуживание,Сервис,2,15500,0.0,31000,0.0,31000.0,15200,15800.0,0.5097,1,0,40300.0,19300.0,40300.0,1,0
2026-01-16,2026-01,2026-W03,Friday,O000120,C0046,Клиент 0046,Нижний Новгород,B2B,Telegram,invoice,paid,Мария Орлова,P006,Консультация аналитика,Консалтинг,1,9300,0.0,9300,0.0,9300.0,5800,3500.0,0.3763,1,0,40300.0,19300.0,40300.0,1,0
2026-01-16,2026-01,2026-W03,Friday,O000162,C0051,Клиент 0051,Санкт-Петербург,B2B,Яндекс Директ,card,paid,Иван Петров,P004,Подписка Профи,Подписки,1,19300,0.1,19300,1930.0,17370.0,6200,11170.0,0.6431,1,0,17370.0,11170.0,17370.0,1,0
2026-01-16,2026-01,2026-W03,Friday,O000325,C0059,Клиент 0059,Москва,B2B,Рекомендации,invoice,paid,Дмитрий Соколов,P004,Подписка Профи,Подписки,1,16400,0.0,16400,0.0,16400.0,6200,10200.0,0.622,1,0,16400.0,10200.0,16400.0,1,0
2026-01-16,2026-01,2026-W03,Friday,O000344,C0143,Клиент 0143,Казань,B2B,Рекомендации,invoice,cancelled,Дмитрий Соколов,P005,Сервисное обслуживание,Сервис,1,15400,0.05,15400,770.0,14630.0,7600,7030.0,0.4805,0,1,14630.0,7030.0,14630.0,2,1
2026-01-16,2026-01,2026-W03,Friday,O000565,C0044,Клиент 0044,Самара,B2C,CRM,sbp,paid,Мария Орлова,P001,Монтаж оборудования,Монтаж,2,32300,0.0,64600,0.0,64600.0,37000,27600.0,0.4272,1,0,64600.0,27600.0,64600.0,1,0
2026-01-17,2026-01,2026-W03,Saturday,O000387,C0155,Клиент 0155,Краснодар,B2B,Telegram,sbp,paid,Мария Орлова,P004,Подписка Профи,Подписки,2,17100,0.0,34200,0.0,34200.0,12400,21800.0,0.6374,1,0,34200.0,21800.0,34200.0,1,0
2026-01-17,2026-01,2026-W03,Saturday,O000433,C0052,Клиент 0052,Краснодар,B2B,SEO,card,paid,Мария Орлова,P001,Монтаж оборудования,Монтаж,1,32300,0.0,32300,0.0,32300.0,18500,13800.0,0.4272,1,0,44880.0,18780.0,44880.0,1,0
2026-01-17,2026-01,2026-W03,Saturday,O000433,C0052,Клиент 0052,Краснодар,B2B,SEO,card,paid,Мария Орлова,P005,Сервисное обслуживание,Сервис,1,14800,0.15,14800,2220.0,12580.0,7600,4980.0,0.3959,1,0,44880.0,18780.0,44880.0,1,0
2026-01-18,2026-01,2026-W03,Sunday,O000173,C0116,Клиент 0116,Нижний Новгород,B2B,Яндекс Директ,invoice,paid,Мария Орлова,P004,Подписка Профи,Подписки,2,17000,0.0,34000,0.0,34000.0,12400,21600.0,0.6353,1,0,34000.0,21600.0,34000.0,2,1
2026-01-18,2026-01,2026-W03,Sunday,O000442,C0167,Клиент 0167,Санкт-Петербург,B2B,Рекомендации,invoice,paid,Анна Кузнецова,P008,Аудит данных,Аналитика,1,23100,0.0,23100,0.0,23100.0,9200,13900.0,0.6017,1,0,23100.0,13900.0,23100.0,1,0
2026-01-18,2026-01,2026-W03,Sunday,O000577,C0026,Клиент 0026,Москва,B2C,Telegram,invoice,paid,Иван Петров,P005,Сервисное обслуживание,Сервис,1,16300,0.0,16300,0.0,16300.0,7600,8700.0,0.5337,1,0,16300.0,8700.0,16300.0,1,0
2026-01-19,2026-01,2026-W04,Monday,O000131,C0155,Клиент 0155,Краснодар,B2B,CRM,sbp,paid,Мария Орлова,P008,Аудит данных,Аналитика,1,21600,0.1,21600,2160.0,19440.0,9200,10240.0,0.5267,1,0,19440.0,10240.0,19440.0,2,1
2026-01-19,2026-01,2026-W04,Monday,O000182,C0035,Клиент 0035,Самара,B2B,Email,card,paid,Дмитрий Соколов,P005,Сервисное обслуживание,Сервис,1,14200,0.0,14200,0.0,14200.0,7600,6600.0,0.4648,1,0,14200.0,6600.0,14200.0,2,1
2026-01-19,2026-01,2026-W04,Monday,O000336,C0178,Клиент 0178,Нижний Новгород,B2C,Яндекс Директ,invoice,paid,Анна Кузнецова,P009,Дополнительные услуги,Доп. услуги,1,10400,0.0,10400,0.0,10400.0,4100,6300.0,0.6058,1,0,10400.0,6300.0,10400.0,1,0
2026-01-19,2026-01,2026-W04,Monday,O000342,C0179,Клиент 0179,Екатеринбург,B2C,Email,card,paid,Анна Кузнецова,P001,Монтаж оборудования,Монтаж,1,33900,0.0,33900,0.0,33900.0,18500,15400.0,0.4543,1,0,33900.0,15400.0,33900.0,1,0
2026-01-19,2026-01,2026-W04,Monday,O000445,C0005,Клиент 0005,Москва,B2C,SEO,card,paid,Иван Петров,P006,Консультация аналитика,Консалтинг,1,11100,0.0,11100,0.0,11100.0,5800,5300.0,0.4775,1,0,11100.0,5300.0,11100.0,2,1
2026-01-20,2026-01,2026-W04,Tuesday,O000076,C0066,Клиент 0066,Нижний Новгород,B2B,Telegram,card,paid,Иван Петров,P004,Подписка Профи,Подписки,1,18900,0.0,18900,0.0,18900.0,6200,12700.0,0.672,1,0,27100.0,16800.0,27100.0,2,1
2026-01-20,2026-01,2026-W04,Tuesday,O000076,C0066,Клиент 0066,Нижний Новгород,B2B,Telegram,card,paid,Иван Петров,P009,Дополнительные услуги,Доп. услуги,1,8200,0.0,8200,0.0,8200.0,4100,4100.0,0.5,1,0,27100.0,16800.0,27100.0,2,1
2026-01-21,2026-01,2026-W04,Wednesday,O000185,C0092,Клиент 0092,Краснодар,B2C,Telegram,sbp,paid,Иван Петров,P004,Подписка Профи,Подписки,1,18500,0.0,18500,0.0,18500.0,6200,12300.0,0.6649,1,0,18500.0,12300.0,18500.0,1,0
2026-01-21,2026-01,2026-W04,Wednesday,O000441,C0160,Клиент 0160,Краснодар,B2B,SEO,card,paid,Мария Орлова,P003,Подписка Базовая,Подписки,1,9800,0.0,9800,0.0,9800.0,3400,6400.0,0.6531,1,0,9800.0,6400.0,9800.0,1,0
2026-01-22,2026-01,2026-W04,Thursday,O000001,C0134,Клиент 0134,Москва,B2C,Яндекс Директ,sbp,paid,Иван Петров,P003,Подписка Базовая,Подписки,1,10100,0.0,10100,0.0,10100.0,3400,6700.0,0.6634,1,0,83540.0,42340.0,83540.0,1,0
2026-01-22,2026-01,2026-W04,Thursday,O000001,C0134,Клиент 0134,Москва,B2C,Яндекс Директ,sbp,paid,Иван Петров,P007,Разработка отчета,Аналитика,3,27200,0.1,81600,8160.0,73440.0,37800,35640.0,0.4853,1,0,83540.0,42340.0,83540.0,1,0
2026-01-22,2026-01,2026-W04,Thursday,O000306,C0045,Клиент 0045,Москва,B2B,CRM,card,paid,Дмитрий Соколов,P007,Разработка отчета,Аналитика,1,26700,0.0,26700,0.0,26700.0,12600,14100.0,0.5281,1,0,35500.0,18800.0,35500.0,1,0
2026-01-22,2026-01,2026-W04,Thursday,O000306,C0045,Клиент 0045,Москва,B2B,CRM,card,paid,Дмитрий Соколов,P009,Дополнительные услуги,Доп. услуги,1,8800,0.0,8800,0.0,8800.0,4100,4700.0,0.5341,1,0,35500.0,18800.0,35500.0,1,0
2026-01-23,2026-01,2026-W04,Friday,O000021,C0078,Клиент 0078,Новосибирск,B2C,SEO,sbp,paid,Иван Петров,P003,Подписка Базовая,Подписки,1,12900,0.0,12900,0.0,12900.0,3400,9500.0,0.7364,1,0,12900.0,9500.0,12900.0,1,0
2026-01-23,2026-01,2026-W04,Friday,O000045,C0076,Клиент 0076,Екатеринбург,B2B,SEO,card,paid,Анна Кузнецова,P006,Консультация аналитика,Консалтинг,1,12800,0.0,12800,0.0,12800.0,5800,7000.0,0.5469,1,0,12800.0,7000.0,12800.0,1,0
2026-01-23,2026-01,2026-W04,Friday,O000054,C0087,Клиент 0087,Краснодар,B2B,CRM,card,paid,Анна Кузнецова,P004,Подписка Профи,Подписки,1,18900,0.0,18900,0.0,18900.0,6200,12700.0,0.672,1,0,18900.0,12700.0,18900.0,2,1
2026-01-23,2026-01,2026-W04,Friday,O000305,C0021,Клиент 0021,Новосибирск,B2B,Яндекс Директ,invoice,paid,Мария Орлова,P008,Аудит данных,Аналитика,1,23100,0.0,23100,0.0,23100.0,9200,13900.0,0.6017,1,0,23100.0,13900.0,23100.0,1,0
2026-01-24,2026-01,2026-W04,Saturday,O000139,C0124,Клиент 0124,Москва,B2B,CRM,sbp,cancelled,Иван Петров,P004,Подписка Профи,Подписки,2,18000,0.0,36000,0.0,36000.0,12400,23600.0,0.6556,0,1,36000.0,23600.0,36000.0,3,1
2026-01-24,2026-01,2026-W04,Saturday,O000332,C0080,Клиент 0080,Новосибирск,B2B,Рекомендации,invoice,paid,Анна Кузнецова,P005,Сервисное обслуживание,Сервис,1,14700,0.0,14700,0.0,14700.0,7600,7100.0,0.483,1,0,14700.0,7100.0,14700.0,1,0
2026-01-24,2026-01,2026-W04,Saturday,O000439,C0114,Клиент 0114,Краснодар,B2C,SEO,card,paid,Иван Петров,P008,Аудит данных,Аналитика,1,21300,0.0,21300,0.0,21300.0,9200,12100.0,0.5681,1,0,21300.0,12100.0,21300.0,1,0
2026-01-24,2026-01,2026-W04,Saturday,O000473,C0063,Клиент 0063,Санкт-Петербург,B2B,CRM,sbp,paid,Иван Петров,P001,Монтаж оборудования,Монтаж,1,33600,0.0,33600,0.0,33600.0,18500,15100.0,0.4494,1,0,33600.0,15100.0,33600.0,1,0
2026-01-24,2026-01,2026-W04,Saturday,O000556,C0023,Клиент 0023,Санкт-Петербург,B2C,Рекомендации,card,paid,Иван Петров,P008,Аудит данных,Аналитика,1,23000,0.0,23000,0.0,23000.0,9200,13800.0,0.6,1,0,23000.0,13800.0,23000.0,1,0
2026-01-25,2026-01,2026-W04,Sunday,O000017,C0119,Клиент 0119,Казань,B2C,Рекомендации,invoice,paid,Анна Кузнецова,P001,Монтаж оборудования,Монтаж,1,29900,0.0,29900,0.0,29900.0,18500,11400.0,0.3813,1,0,41900.0,17600.0,41900.0,2,1
2026-01-25,2026-01,2026-W04,Sunday,O000017,C0119,Клиент 0119,Казань,B2C,Рекомендации,invoice,paid,Анна Кузнецова,P006,Консультация аналитика,Консалтинг,1,12000,0.0,12000,0.0,12000.0,5800,6200.0,0.5167,1,0,41900.0,17600.0,41900.0,2,1
2026-01-25,2026-01,2026-W04,Sunday,O000204,C0072,Клиент 0072,Новосибирск,B2C,Email,card,paid,Анна Кузнецова,P002,Настройка интеграции,Интеграции,1,24700,0.05,24700,1235.0,23465.0,12200,11265.0,0.4801,1,0,41165.0,19765.0,41165.0,2,1
2026-01-25,2026-01,2026-W04,Sunday,O000204,C0072,Клиент 0072,Новосибирск,B2C,Email,card,paid,Анна Кузнецова,P008,Аудит данных,Аналитика,1,17700,0.0,17700,0.0,17700.0,9200,8500.0,0.4802,1,0,41165.0,19765.0,41165.0,2,1
2026-01-26,2026-01,2026-W05,Monday,O000272,C0043,Клиент 0043,Новосибирск,B2B,SEO,invoice,paid,Дмитрий Соколов,P001,Монтаж оборудования,Монтаж,1,31900,0.15,31900,4785.0,27115.0,18500,8615.0,0.3177,1,0,27115.0,8615.0,27115.0,1,0
